song_id,stratum,rank_in_stratum,score,low_confidence,structure_disagreement,tiny_lyric_sections,suspicious_boundaries,label_cramming,abnormal_order,model_disagreement,quality_tier,key_agreement,note_lyric_coverage,pathologies,in_clean_subset,n_sections,n_bars
0ZMWpv0aFBioxywoXsmaId,anchor_clean_subset,1,1.0926,0.0,0.0,0.0,0.0,0.414,0.5,0.119,A,high,0.9857,,True,8,73
0ccEIUOa32bbAoGaPHGQuX,anchor_clean_subset,2,0.4118,0.0,0.0,0.0,0.0,0.256,0.0,0.1039,A,high,0.9919,,True,8,99
18wGt2QzrQO73VY4akreyx,anchor_clean_subset,3,2.0718,0.25,0.0,0.5,0.0,0.234,0.0,0.2252,A,medium,0.973,,True,9,79
1mcMqHzkg79tfjUqeLAzpI,anchor_clean_subset,4,1.2385,0.0,0.0,0.5,0.0,0.42,0.0,0.0457,A,high,0.9772,,True,11,79
1tKSEmbS7vmv7cFc24sjlI,anchor_clean_subset,5,0.5006,0.0,0.0,0.0,0.0,0.148,0.0,0.235,A,high,0.9915,,True,7,80
255drLOJ94rmt1SDRj6H3N,anchor_clean_subset,6,1.5305,0.0582,0.0,0.0,0.0,0.596,0.0,0.5066,A,high,0.9537,,True,11,108
28IzuspwIj6C8XAOoIJ1Wp,anchor_clean_subset,7,1.492,0.0,0.175,0.0,0.0,0.254,0.5,0.2004,A,high,0.9727,,True,11,137
2doqLn2sfIhgoUB2DaLRiv,anchor_clean_subset,8,1.5643,0.25,0.0,0.0,0.0,0.1,0.0,0.4762,A,medium,0.9935,,True,7,61
2fqUJToyhc6bzIXootn4nv,anchor_clean_subset,9,2.7299,0.0696,0.0,1.0,0.0,0.922,0.0,0.066,A,high,0.9505,,True,9,71
2y0wImEpj5p6SxBmY0opQN,anchor_clean_subset,10,1.6673,0.0,0.0,0.0,0.0,0.408,0.5,0.5062,A,high,0.975,,True,11,121
3DtjJWwGp2qAVFkqeZ2Fgn,anchor_clean_subset,11,0.824,0.0646,0.0,0.0,0.0,0.306,0.0,0.216,A,high,0.9519,,True,8,87
3JjXD9DVfxh001wI5IACZ1,anchor_clean_subset,12,1.0948,0.0,0.0,0.5,0.0,0.106,0.0,0.1592,A,high,1.0,,True,8,82
3tOVrJlfy9g1dPBI8czFIy,anchor_clean_subset,13,0.9252,0.0,0.0,0.0,0.0,0.108,0.0,0.5448,A,high,0.9945,,True,11,105
499ghNme62G8hsotXXlAIE,anchor_clean_subset,14,0.718,0.0296,0.0,0.0,0.0,0.544,0.0,0.0567,A,high,0.9617,,True,11,104
49pMRkESXndNlp0jD1Vxnj,anchor_clean_subset,15,1.7279,0.065,0.0,0.0,0.0,0.876,0.5,0.1046,A,high,0.9518,,True,8,97
4VEbbZeJwrlqRBTTscq3m2,anchor_clean_subset,16,0.9193,0.0,0.0,0.0,0.0,0.2,0.0,0.4795,A,high,0.9881,,True,11,89
4VfHbfbzNPZmX5KI4iAOyT,anchor_clean_subset,17,2.2305,0.25,0.0,0.0,0.0,0.502,0.0,0.6523,A,medium,0.9733,,True,9,75
4eMDRwO2dreLU0IvNoARUP,anchor_clean_subset,18,0.3874,0.0,0.0,0.0,0.0,0.08,0.0,0.2049,A,high,0.9953,,True,11,73
4eNxB89LADQeQnUvvIIuRG,anchor_clean_subset,19,0.6045,0.0,0.0,0.0,0.0,0.286,0.0,0.2123,A,high,0.9809,,True,8,63
53a8hVCKsw8NhGxmRH1YeZ,anchor_clean_subset,20,1.7698,0.25,0.0,0.5,0.0,0.186,0.0,0.0559,A,medium,0.9888,,True,12,68
56EoTwd4LGjmEO7UzQrDoX,anchor_clean_subset,21,0.2041,0.0,0.0,0.0,0.0,0.072,0.0,0.0881,A,high,0.9959,,True,10,89
58ajbBxQUMMFpqHA62QNO0,anchor_clean_subset,22,1.0002,0.025,0.0,0.0,0.0,0.474,0.0,0.3008,A,high,0.963,,True,7,59
5CbNIRIgmrh1W9xNnhtSz1,anchor_clean_subset,23,0.6183,0.0,0.0,0.0,0.0,0.16,0.0,0.3056,A,high,0.9933,,True,13,109
5K8AQ2dBiXolebEfawTrzv,anchor_clean_subset,24,0.116,0.0,0.0,0.0,0.0,0.116,0.0,0.0,A,high,0.9912,,True,8,64
5LlXalu5DZuQl7Q9CmNKp0,anchor_clean_subset,25,0.4778,0.0,0.0,0.0,0.0,0.2,0.0,0.1852,A,high,0.9841,,True,7,73
5i64hhiLZt1NWnRZiVubSL,anchor_clean_subset,26,0.8243,0.25,0.0,0.0,0.0,0.0,0.0,0.0495,A,medium,1.0,,True,8,72
6I3A7q18EJgbdZf2Zx1wxm,anchor_clean_subset,27,0.6232,0.0,0.0,0.0,0.0,0.446,0.0,0.1181,A,high,0.9722,,True,10,96
6NqPOID1RsXpj7IAEsgd2v,anchor_clean_subset,28,0.3156,0.0,0.0,0.0,0.0,0.17,0.0,0.0971,A,high,0.9903,,True,9,73
6ast0Gzj3H6MgDfkRHZxx1,anchor_clean_subset,29,1.8819,0.25,0.0,0.5,0.0,0.274,0.0,0.0719,A,medium,0.9892,,True,9,68
6ousLSFH3faAPCokCk2gCm,anchor_clean_subset,30,1.0246,0.0,0.0,0.5,0.0,0.172,0.0,0.0684,A,high,0.9897,,True,11,96
72yPhoXJHKpAeCt99RLdK4,anchor_clean_subset,31,1.7522,0.0,0.0,0.5,0.0,0.146,0.0,0.5708,A,high,0.9915,,True,12,100
7IE2jtO8pkWtcSdj71OnlT,anchor_clean_subset,32,0.4719,0.0,0.0,0.0,0.0,0.264,0.0,0.1386,A,high,0.9861,,True,13,114
7omMiE6h9Js24Cr22A0Fbv,anchor_clean_subset,33,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.1274,A,high,1.0,,True,12,104
7qDiugtLVz4njwHDGCfdB5,anchor_clean_subset,34,2.2994,0.25,0.0,0.0,0.0,0.222,1.0,0.2183,A,medium,0.9881,,True,14,121
27o7ErWiozSj47o3dnPvVf,priority,1,7.7625,0.4,0.825,0.0,1.0,1.0,0.5,1.0,A,high,0.873,aligner_cramming_over_10pct,False,10,64
61g5RPLFCdbnVwAQ363gyP,priority,2,6.7402,0.6,0.0,1.0,0.75,0.342,1.0,0.6488,B,medium,0.9724,,False,12,101
3im9iOhpZNgaTS4VGYOGF9,priority,3,6.3,0.85,0.0,0.0,0.5,1.0,0.5,1.0,B,medium,0.7873,,False,11,87
7q5MNn6t2YpWawZvWDpAhv,priority,4,5.9936,0.5607,0.0,1.0,0.75,1.0,0.0,0.4577,A,medium,0.925,double_time_suspect,False,14,173
0exfMqddpIIZQbZZny68Rc,priority,5,5.9044,0.85,0.0,0.5,0.5,1.0,0.0,0.5696,B,medium,0.8378,,False,13,134
6i6Lrq6Lkfsjw4WCLOr6zp,priority,6,5.8826,0.3204,0.175,0.5,1.0,0.734,0.0,1.0,A,medium,0.9503,,False,10,87
3FT4dcOfYXmlNbLecPiMrm,priority,7,5.656,0.35,0.0,1.0,1.0,0.106,0.0,1.0,B,high,0.9841,,False,13,111
1Fo23uW11ZN4JCFCeB0ngS,priority,8,5.5874,0.6393,0.0,0.5,1.0,0.58,0.5,0.2264,B,medium,0.959,,False,10,61
0FadVuelB7Srb98yUbTbwI,priority,9,5.05,0.85,0.0,0.0,0.0,1.0,0.0,1.0,B,medium,0.8531,,False,7,89
4iexiXer21ge7jm3GPQkT2,priority,10,4.9972,0.1039,0.0,1.0,1.0,0.408,0.5,0.5183,A,high,0.9409,,False,13,77
5IhH7idp4sHJ4o0pnxH59X,priority,11,4.9893,0.7389,0.0,0.5,0.25,1.0,0.0,0.4317,B,medium,0.9311,,False,10,73
4BDdKKIImyCOH0UFXGSoMu,priority,12,4.8192,0.6,0.0,1.0,0.5,0.0,0.5,0.1795,B,medium,1.0,,False,11,88
2rwYS769lcaMmFpqzR2bBZ,priority,13,4.8079,0.6,0.0,0.5,1.0,0.216,0.0,0.3613,B,medium,0.9854,,False,10,101
5bVKIpODZbjn82L68A80hv,priority,14,4.7543,0.7714,0.0,0.0,0.0,0.44,0.5,1.0,B,medium,0.964,melody_in_key_under_70pct,False,13,111
66x69ddxo6rH3KZoa5yNfO,priority,15,4.7335,0.25,0.175,0.0,1.0,0.546,0.0,1.0,A,medium,0.9714,,False,11,69
20WNhehqO6xfLVktkDefs2,priority,16,4.6353,0.75,0.0,0.0,0.75,0.182,0.0,0.7188,B,medium,0.9831,pitch_range_over_3_octaves,False,12,117
1ong56tLkuTP0YuTxYAr9F,priority,17,4.6254,0.35,0.0,0.5,0.5,0.262,0.5,0.8756,B,high,0.9808,,False,11,92
4i0tFVka77iJFMvsLWUALb,priority,18,4.5846,0.85,0.0,0.0,0.25,1.0,0.0,0.4397,B,medium,0.8673,,False,10,87
5rc5x4FKWvrJb8qxFNp1bO,priority,19,4.5489,0.6,0.0,1.0,0.25,0.632,0.0,0.1613,B,high,0.7778,,False,10,80
3fqOOwQx6M8XpJMf8Bsp9K,priority,20,4.4876,0.35,0.0,1.0,1.0,0.104,0.0,0.2224,B,high,0.9911,,False,13,120
6gkCBQjjSFX0UctwaFFdL2,priority,21,4.3574,0.25,0.0,1.0,1.0,0.04,0.0,0.3782,A,medium,0.993,,False,14,122
65qUlixRrzCOI7RIHMZ8b0,priority,22,4.346,0.0,0.0,1.0,0.75,0.274,0.0,0.9647,A,high,0.9746,,False,15,136
3Oljg1NEoLgRgcJnWJpiAT,priority,23,4.2987,0.6,0.175,0.0,0.25,0.658,0.0,0.6855,B,high,0.7558,,False,13,93
0jcOCNg3QQCYcwM4s8JyZI,priority,24,4.2936,0.5029,0.0,0.0,1.0,0.336,0.5,0.2994,B,high,0.9272,,False,14,111
4yZY7e169iMB1o29Pk41cz,priority,25,4.2884,0.6,0.0,0.0,0.75,0.098,0.0,0.8436,B,medium,0.9926,,False,11,106
5AEMs1wDhUJeZnTl5xyfys,priority,26,4.2829,0.25,0.0,0.5,1.0,0.15,0.5,0.4219,A,medium,0.9924,,False,10,60
3q9kTZg82Fxa7KptbOLqav,priority,27,4.2672,0.4361,0.0,0.5,0.25,0.334,0.0,1.0,A,medium,0.9179,,False,10,77
2YSqK9S0SZjulBJdc9BYuu,priority,28,4.2538,0.3932,0.0,0.5,0.25,1.0,0.0,0.6328,A,medium,0.9299,,False,11,73
2TSoqk7lI5AomIgffxCw4g,priority,29,4.2236,0.415,0.175,0.5,0.25,0.372,0.0,0.6961,B,high,0.9518,,False,14,99
4T4TeoIBft7oIW5WOte5Au,priority,30,4.1723,0.6425,0.0,0.0,0.25,0.824,0.5,0.3638,B,high,0.9301,pitch_range_over_3_octaves,False,13,106
5DOdnY5NIJVe0tln5eFm7f,priority,31,4.0232,0.3154,0.0,0.5,0.75,0.698,0.0,0.3361,A,medium,0.9517,,False,13,76
1bIiaFMdH3udqWyXyeQMoH,priority,32,3.9804,0.2018,0.35,0.0,0.0,1.0,0.0,1.0,A,high,0.9555,aligner_cramming_over_10pct|implausible_note_density,False,4,27
2Ao4GCbjB6dejFu7OWyDuc,priority,33,3.9691,0.35,0.0,0.0,1.0,0.39,0.5,0.3527,B,high,0.9707,,False,14,118
32fzm1b8Ivyyj9qKXjiMZw,priority,34,3.9041,0.4454,0.0,0.0,0.75,1.0,0.0,0.2954,A,medium,0.9153,,False,7,51
64ksmDDLWaiY21WDVXBoYC,priority,35,3.8979,0.35,0.0,1.0,0.5,0.314,0.0,0.1893,B,high,0.9706,,False,12,103
40RF2zemUhNk0aPkIJNWxM,priority,36,3.7906,0.4164,0.0,0.0,0.5,0.71,0.5,0.3875,A,medium,0.9654,melody_in_key_under_70pct,False,9,79
3tmLIBcbVxYe6tTKvUyMIk,priority,37,3.7326,0.4282,0.0,0.5,0.25,0.442,0.5,0.254,B,high,0.9481,,False,13,94
6H1qeLID2gslZMgxpwfACS,priority,38,3.7,0.4,0.0,0.0,0.0,1.0,0.0,1.0,A,high,0.7992,melody_in_key_under_70pct|aligner_cramming_over_10pct,False,5,27
7jDM04sebBiBcWysWcvSFx,priority,39,3.6819,0.0,0.0,1.0,1.0,0.144,0.0,0.3586,A,high,0.996,,False,13,97
6lyPKJbCwZEiOtxwXxTDLD,priority,40,3.6151,0.6,0.0,0.5,0.5,0.122,0.0,0.1288,B,medium,0.9742,,False,9,118
1sVsi9Q7g5zYcw3Aj90bcc,priority,41,3.5726,0.6182,0.0,0.0,0.25,0.49,0.5,0.2353,B,medium,0.9649,,False,9,94
3xqFOwya52XoVYyO2HphmG,priority,42,3.5658,0.4975,0.0,0.0,0.25,0.912,0.5,0.1909,A,medium,0.9427,melody_in_key_under_70pct,False,14,112
6URmER9CypxglzgwthpWTU,priority,43,3.5342,0.4332,0.0,0.0,1.0,0.108,0.0,0.4177,A,medium,0.9187,,False,13,126
